#n_clusters: 0, n_segment_len: 0
2.115955645946677066e+00,1.078823233316647201e+00
4.128160041896939414e-01,1.435258543009758359e-01
4.039827211260546558e-01,8.083129105303489548e-02
9.359222290567669189e-01,2.819573024698536212e-01
#n_clusters: 3, n_segment_len: 6
2.778207481538548240e-01,1.069385387376447782e-01
7.387978647660853326e-01,2.533681241882891344e-01
3.501835736443471014e-01,1.205165574838396869e-01
1.557626595872710906e+00,1.056926379315014236e-01
9.583474592579506179e-01,1.104307917694225538e-01
8.729713236541192245e-01,6.146665006869896780e-02
2.604185395477500720e+00,1.550437091480474372e+00
3.430552943505289498e-01,7.240726104839186050e-02
5.190956851835331065e-01,7.045190768612660803e-02
1.004339909490214566e+00,2.678890420707664144e-01
#n_clusters: 4, n_segment_len: 0
1.801918898850685125e-01,6.285864621442598110e-02
2.028405351287269065e-01,1.209019931659779390e-01
1.597346141611303283e-01,1.097782263179246792e-01
1.979781646039765197e-01,2.514442192929958880e-02
1.670983013547583662e-01,1.399340042254517726e-02
1.702129887677189257e-01,2.186672878723516789e-02
9.173345766911534804e-01,6.464462159095197835e-01
8.812246864097379728e-02,2.850985230445442567e-02
9.794282806056975321e-02,1.164086821366532715e-02
2.104664629794890940e-01,7.873878217574342697e-02
#n_clusters: 4, n_segment_len: 1
2.673179419575661964e-01,6.374830254382589378e-02
2.995186849820064001e-01,1.623063051705284920e-01
2.319448154555765196e-01,1.368845595183917629e-01
4.732700771253620653e-01,4.345518092843494301e-02
2.723294879046118666e-01,2.875652159571689959e-02
2.974223334885940928e-01,3.543518109925067328e-02
1.254632070994373239e+00,8.102371850084294502e-01
1.434535399222454655e-01,6.467320517752721265e-02
1.719676860153410702e-01,2.448941855344075047e-02
3.544499756518469935e-01,1.262275815860068595e-01
#n_clusters: 4, n_segment_len: 2
2.593703256083514930e-01,6.661028494032632252e-02
3.399636734639883695e-01,1.886399426436371762e-01
2.256603232097169620e-01,1.382611856701069508e-01
6.467891265886063223e-01,5.553899164192841603e-02
3.843977414885688115e-01,2.692460715438450836e-02
4.018651934341809784e-01,5.331570832719526726e-02
1.415065122252429974e+00,8.671579582738137004e-01
1.549217370178510855e-01,4.888593884724645039e-02
1.963453609255219334e-01,3.220300068286969380e-02
4.397529398770084197e-01,1.528594904700140145e-01
#n_clusters: 4, n_segment_len: 3
3.008334881059904209e-01,6.525162961470298839e-02
4.117325776657371206e-01,2.217741071175571843e-01
2.696932616978602315e-01,1.462190461549716380e-01
9.417741446290082141e-01,6.084224534942316714e-02
5.273372605810866531e-01,5.757247361380864875e-02
4.974981063462884379e-01,7.160284030707655956e-02
1.647301845143319898e+00,9.960471687064987867e-01
1.848295777326850187e-01,6.234593174071626637e-02
2.306299410907857728e-01,4.035735649133182640e-02
5.824146914069489034e-01,2.136677187040891546e-01
#n_clusters: 4, n_segment_len: 4
3.260131050524210927e-01,6.256051330646891784e-02
5.065130465545156779e-01,2.666470661949686405e-01
2.971563986981465844e-01,1.522853670170630225e-01
1.263501327988683753e+00,6.949816364557435955e-02
7.500948148271783245e-01,9.702462842767474449e-02
6.356389872263342733e-01,9.602815588714486150e-02
1.956326969740726840e+00,1.145958584259954227e+00
2.079631816119248688e-01,6.207559702809873486e-02
2.649170662580097590e-01,4.831372946617251696e-02
7.554604703745098071e-01,2.760892164285457251e-01
#n_clusters: 4, n_segment_len: 5
2.997682738159107574e-01,8.669302968180675473e-02
6.072243956000933363e-01,3.025720877937717601e-01
3.288584075022416009e-01,1.175701154125591286e-01
1.517740983373098818e+00,7.648480507969498965e-02
9.764555756447034218e-01,1.096010515845041167e-01
7.970292382770698403e-01,9.507141742031705034e-02
2.088722100476211097e+00,1.113854941541043031e+00
2.784339106576497191e-01,3.077736299797941347e-02
3.435501699432920719e-01,6.444606465108450311e-02
9.169099011412435996e-01,3.161282771560968707e-01
#n_clusters: 4, n_segment_len: 6
2.765994467241546517e-01,1.064730308778059631e-01
7.238920281481975305e-01,2.426780122120211491e-01
3.508596088872598662e-01,1.184478914339866240e-01
1.530312924601771929e+00,1.077217330568040893e-01
9.248022133479273377e-01,1.086318167927056433e-01
8.567626364100000558e-01,6.669996413066822671e-02
2.567308657935066574e+00,1.553853311550213778e+00
3.539934487692545928e-01,8.019755455957981727e-02
4.812596471651933716e-01,5.377784917750666471e-02
9.821022775722327847e-01,2.625967468042633146e-01
#n_clusters: 5, n_segment_len: 0
1.178692556234966216e-01,5.517119512109872059e-02
1.736323588233343318e-01,1.135493428022535251e-01
1.191917019644261749e-01,7.349505266664496661e-02
1.551431189100435926e-01,2.578171629520344815e-02
